PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2000;REGIAO NORDESTE;SERGIPE;747116,2114;709314,4533;761035,561;731303,6291;763501,1665;732165,3331;745248,1379;747185,3993;724963,5006;751877,5976;729775,2053;760029,1914;8903515,386
TERRA;b;2000;REGIAO NORDESTE;BAHIA;1430038,622;1325382,473;1421182,57;1390337,341;1432598,575;1377638,215;1423283,366;1381657,403;1368989,726;1440536,315;1417521,9;1438882,095;16848048,6
TERRA;b;2000;REGIAO SUDESTE;ESPIRITO SANTO;304835,6417;275443,3595;285777,5174;291740,2572;327221,0754;345530,7124;389175,7039;415039,4027;428650,5515;488057,807;482459,8761;534256,4614;4568188,366
TERRA;b;2001;REGIAO NORTE;AMAZONAS;1268950,298;1248596,473;1365335,347;1272466,302;1355435,186;1308582,391;1204265,892;1239325,293;1323376,024;1405954,939;1355881,762;1394601,832;15742771,74
TERRA;b;2001;REGIAO NORDESTE;CEARA;70710,04402;68420,55318;81037,91204;65175,01122;70540,21915;67162,59118;77056,46231;84862,11652;70301,20637;83516,09718;84296,03362;70087,35283;893165,5996
TERRA;b;2001;REGIAO NORDESTE;RIO GRANDE DO NORTE;2287446,652;1892761,074;1954212,518;2104897,496;2156631,183;2061894,065;2248493,858;2254368,541;2230108,744;2208157,307;2199672,353;2218233,583;25816877,37
TERRA;b;2001;REGIAO NORDESTE;ALAGOAS;175982,594;158075,5049;169384,5833;167214,5989;177989,0434;176234,1864;182121,4486;175485,699;178429,3301;183920,3342;178392,9121;185026,1457;2108256,38
TERRA;b;2001;REGIAO NORDESTE;SERGIPE;757985,0031;687142,8731;773917,0918;761167,647;787383,575;768426,0877;797485,0099;789251,6486;760997,8221;785226,1702;759249,2549;784087,7146;9212319,898
TERRA;b;2001;REGIAO NORDESTE;BAHIA;1444266,172;1304682,709;1420037,824;1345516,155;1398872,613;1342761,218;1329275,866;1360007,877;1328636,821;1387324,522;1303051,509;1345141,408;16309574,7
TERRA;b;2001;REGIAO SUDESTE;ESPIRITO SANTO;553415,2227;521192,526;575882,424;553691,9743;594273,8284;621621,9223;648171,2103;665631,7229;665216,5954;662348,4421;490259,2405;535193,6431;7086898,752
TERRA;b;2002;REGIAO NORTE;AMAZONAS;1413276,278;1255307,7;1375770,141;1288436,129;1384053,821;1337697,921;1402879,222;1400338,139;1324885,578;1339754,689;1179603,547;1211851,403;15913854,57
TERRA;b;2002;REGIAO NORDESTE;CEARA;75672,70411;62948,41848;79427,72068;64256,69896;69980,42606;69533,84955;66326,04645;63256,61917;62633,92798;75999,77423;70433,29238;67389,02434;827858,5024
TERRA;b;2002;REGIAO NORDESTE;RIO GRANDE DO NORTE;2163883,334;2010506,317;2113143,437;2023274,632;2134145,113;2134321,227;2125377,117;2085034,276;2043496,371;2097808,88;2038690,956;2067806,487;25037488,15
TERRA;b;2002;REGIAO NORDESTE;ALAGOAS;211096,7792;187971,475;200810,361;180771,9698;195868,9605;182686,0219;187423,0036;221938,9021;208776,3425;214687,9462;224687,3603;229737,5117;2446456,634
TERRA;b;2002;REGIAO NORDESTE;SERGIPE;784062,5554;708861,587;786150,7723;770992,3302;801988,5139;795843,3695;839060,654;820411,3674;819813,8354;872207,9527;845501,4194;836475,5421;9681369,899
TERRA;b;2002;REGIAO NORDESTE;BAHIA;1362368,443;1219720,71;1335130,484;1348798,367;1391344,466;1323423,449;1338541,888;1393677,922;1309159,795;1357998,912;1318937,62;1362309,633;16061411,69
